OBJECTID,Projectnaam,opwek
1,Energieroute Noord-Holland,13
3,Zonneroute A15,50
4,Energiecorridor Betuweroute A15,65
5,A59 's-Hertogenbosch - Bernheze,13
6,Zonnelint A12-A30,10
7,Duurzaamheidsroute A35,100
8,A28-A7 Drenthe-Groningen,13
9,Drentse Zonneroute A37,165
11,A12 Oost en West,50
13,A6 Zon Lelystad Dronten,65
14,A73-A77,34
16,Zon langs de A28 Amersfoort-Utrecht,13
17,A4-N11,13
18,A7-A8,13
19,A2-A76-A79,13
20,A12 Zuid-Holland,13
21,A1-A50,13
22,A2 Utrecht Zuid,22
23,A1 Utrecht,13
24,OER Brainport Rijkswegen,13
25,A27,13
26,A28-A32,13
28,A20,13
29,OER Fryslân,13
31,A16-A20-N3 ,13
32,Zonneroute Gooi- en Vechtstreek,90
34,ZonneRing A10,13
36,A2 Noord,20
